,title,platform,datetime,critic_score,critic_score_text,url,comments,upvotes,img
684,The King's Bird Review: A Rocky Flight,PC,"Thursday, Aug 23, 2018 8:23am",5,Mediocre,https://www.gamespot.com/reviews/the-kings-bird-review-a-rocky-flight/1900-6416964/,8,12,https://www.gamespot.com/a/uploads/screen_petite/1406/14063904/3429081-3399696314-b1b0efd0586e85388aa03e25e97eb848
685,Guacamelee 2 Review - Ready For A Challenge,PS4,"Tuesday, Aug 21, 2018 6:19am",9,Superb,https://www.gamespot.com/reviews/guacamelee-2-review-ready-for-a-challenge/1900-6416962/,21,17,https://www.gamespot.com/a/uploads/screen_petite/1575/15759911/3427985-guacamelee-2-review-thumb-nologo.jpg
686,H1Z1 Battle Royale PS4 Review: All Kills No Frills,PS4,"Saturday, Aug 18, 2018 11:50am",7,Good,https://www.gamespot.com/reviews/h1z1-battle-royale-ps4-review-all-kills-no-frills/1900-6416960/,14,20,https://www.gamespot.com/a/uploads/screen_petite/1574/15747411/3426974-h1z1-review-ps4-promo1-2.jpg
687,The Walking Dead - The Final Season Episode 1: Done Running Review,PS4,"Tuesday, Aug 14, 2018 12:03pm",8,Great,https://www.gamespot.com/reviews/the-walking-dead-the-final-season-episode-1-done-r/1900-6416959/,18,49,https://www.gamespot.com/a/uploads/screen_petite/1406/14063904/3426123-0209609742-7502318df9b147526639a99226c66611
688,Phantom Doctrine Review: Tactical Espionage Action,PC,"Tuesday, Aug 14, 2018 3:41am",9,Superb,https://www.gamespot.com/reviews/phantom-doctrine-review-tactical-espionage-action/1900-6416958/,25,57,https://www.gamespot.com/a/uploads/screen_petite/172/1720905/3425879-phantom-doctrine-review-thumb-nologo.jpg
689,Flipping Death Review: Scythe Life,PC,"Monday, Aug 13, 2018 4:03pm",7,Good,https://www.gamespot.com/reviews/flipping-death-review-scythe-life/1900-6416957/,4,11,https://www.gamespot.com/a/uploads/screen_petite/172/1720905/3425400-flipping-death-review-thumb-nologo.jpg
690,Madden NFL 19 Review,XONE,"Monday, Aug 13, 2018 12:10am",8,Great,https://www.gamespot.com/reviews/madden-nfl-19-review/1900-6416951/,78,54,https://www.gamespot.com/a/uploads/screen_petite/1179/11799911/3421830-screen%20shot%202018-08-02%20at%202.52.07%20pm.png
691,We Happy Few Review,PC,"Saturday, Aug 11, 2018 10:57am",4,Poor,https://www.gamespot.com/reviews/we-happy-few-review/1900-6416956/,187,94,https://www.gamespot.com/a/uploads/screen_petite/1575/15759911/3425083-we-happy-few-review-thumb-nologo.jpg
692,Unavowed Review: Dressed To Possess,PC,"Wednesday, Aug 8, 2018 7:51pm",9,Superb,https://www.gamespot.com/reviews/unavowed-review-dressed-to-possess/1900-6416955/,39,53,https://www.gamespot.com/a/uploads/screen_petite/172/1720905/3424205-unavowed-review-thumb-nologo.jpg
693,Monster Hunter World Review - Deadliest Catch,PS4,"Tuesday, Aug 7, 2018 3:30pm",8,Great,https://www.gamespot.com/reviews/monster-hunter-world-review-deadliest-catch/1900-6416842/,368,142,https://www.gamespot.com/a/uploads/screen_petite/172/1720905/3344473-monster-hunter-world-review-thumb-nologo.jpg
694,Overcooked 2 Review - A Great Second Course,NS,"Monday, Aug 6, 2018 5:53pm",8,Great,https://www.gamespot.com/reviews/overcooked-2-review-a-great-second-course/1900-6416954/,27,22,https://www.gamespot.com/a/uploads/screen_petite/1575/15759911/3423084-overcooked2-review-thumb-nologo.jpg
695,Dead Cells Review: Rise From Your Grave,"PS4, XONE, NS, PC","Sunday, Aug 5, 2018 4:55pm",9,Superb,https://www.gamespot.com/reviews/dead-cells-review-rise-from-your-grave/1900-6416953/,58,73,https://www.gamespot.com/a/uploads/screen_petite/1406/14063904/3422821-1639908206-9df75d396a1745ccd06b87071ece6347
696,No Man's Sky Review,PS4,"Saturday, Aug 4, 2018 1:53am",7,Good,https://www.gamespot.com/reviews/no-mans-sky-review/1900-6416492/,1031,950,https://www.gamespot.com/a/uploads/screen_petite/1406/14063904/3108329-4698035025-NoMan.jpg
697,No Man's Sky Next Review: You Are Not Alone,"PC, PS4","Saturday, Aug 4, 2018 1:52am",8,Great,https://www.gamespot.com/reviews/no-mans-sky-next-review-you-are-not-alone/1900-6416952/,137,87,https://www.gamespot.com/a/uploads/screen_petite/1406/14063904/3422679-2079014388-4c107671d0d96ac144e812cd061ef36a
698,WarioWare Gold Review - Worth Its Weight,3DS,"Monday, Jul 30, 2018 6:11pm",8,Great,https://www.gamespot.com/reviews/warioware-gold-review-worth-its-weight/1900-6416950/,10,19,https://www.gamespot.com/a/uploads/screen_petite/172/1720905/3420597-warioware_gold-review-thumb-nologo.jpg
699,The Banner Saga 3 Review,PC,"Thursday, Jul 26, 2018 6:08am",8,Great,https://www.gamespot.com/reviews/the-banner-saga-3-review/1900-6416946/,19,25,https://www.gamespot.com/a/uploads/screen_petite/172/1720905/3419177-artboard%201.jpg
700,Mega Man X Legacy Collection 1 + 2 Review: Mega Museum,"NS, PS4","Tuesday, Jul 24, 2018 6:40am",8,Great,https://www.gamespot.com/reviews/mega-man-x-legacy-collection-1-2-review-mega-museu/1900-6416948/,13,27,https://www.gamespot.com/a/uploads/screen_petite/1406/14063904/3417443-0692663725-19fdd5c2c0c014d56b4c8ac946992dd1
701,Earthfall Review: An Inferior Invasion,XONE,"Monday, Jul 23, 2018 9:47am",4,Poor,https://www.gamespot.com/reviews/earthfall-review-an-inferior-invasion/1900-6416947/,12,12,https://www.gamespot.com/a/uploads/screen_petite/1406/14063904/3417065-7600080899-327f66a8c0cdc5b1dc5025aaaf02d1f4
