title,reviewer,current_review_url,info_url
SonicN Review,Alex Navarro,https://www.gamespot.com/reviews/sonicn-review/1900-6085543/,https://www.gamespot.com/games/sonic-advance/
American Idol Review,Ryan Davis,https://www.gamespot.com/reviews/american-idol-review/1900-6085562/,https://www.gamespot.com/games/american-idol/
Korea: Forgotten Conflict Review,Jason Ocampo,https://www.gamespot.com/reviews/korea-forgotten-conflict-review/1900-6085532/,https://www.gamespot.com/games/korea-forgotten-conflict/
Fatal Frame Review,Bethany Massimilla,https://www.gamespot.com/reviews/fatal-frame-review/1900-6085487/,https://www.gamespot.com/games/fatal-frame-ii-crimson-butterfly/
SSX 3 Review,Frank Provo,https://www.gamespot.com/reviews/ssx-3-review/1900-6085475/,https://www.gamespot.com/games/ssx-3/
Teenage Mutant Ninja Turtles Review,Alex Navarro,https://www.gamespot.com/reviews/teenage-mutant-ninja-turtles-review/1900-6085476/,https://www.gamespot.com/games/teenage-mutant-ninja-turtles-2003/
Prince of Persia: The Sands of Time Review,Greg Kasavin,https://www.gamespot.com/reviews/prince-of-persia-the-sands-of-time-review/1900-6085345/,https://www.gamespot.com/games/prince-of-persia-the-sands-of-time/
Rayman 3 Review,Ryan Davis,https://www.gamespot.com/reviews/rayman-3-review/1900-6085464/,https://www.gamespot.com/games/rayman-3/
The Sims Bustin' Out Review,Andrew Park,https://www.gamespot.com/reviews/the-sims-bustin-out-review/1900-6085460/,https://www.gamespot.com/games/the-sims-bustin-out/
I-Ninja Review,Ryan Davis,https://www.gamespot.com/reviews/i-ninja-review/1900-6085462/,https://www.gamespot.com/games/i-ninja/
Rayman 3: Hoolum Havoc Review,Ryan Davis,https://www.gamespot.com/reviews/rayman-3-hoolum-havoc-review/1900-2912806/,https://www.gamespot.com/games/rayman-3/
Pokemon Sapphire Review,Greg Kasavin,https://www.gamespot.com/reviews/pokemon-sapphire-review/1900-2912805/,https://www.gamespot.com/games/pokemon-ruby-version/
Gekido Advance: Kintaro's Revenge Review,Ryan Davis,https://www.gamespot.com/reviews/gekido-advance-kintaros-revenge-review/1900-6085393/,https://www.gamespot.com/games/gekido-advance-kintaros-revenge/
Harvest Moon: Friends of Mineral Town Review,Frank Provo,https://www.gamespot.com/reviews/harvest-moon-friends-of-mineral-town-review/1900-6085378/,https://www.gamespot.com/games/harvest-moon-friends-of-mineral-town/
Goblin Commander: Unleash the Horde Review,Bob Colayco,https://www.gamespot.com/reviews/goblin-commander-unleash-the-horde-review/1900-6085347/,https://www.gamespot.com/games/goblin-commander-unleash-the-horde/
