url,title,release_date,platforms,description,developers,publishers,genres,esrb
https://www.gamespot.com/games/dragon-age-inquisition/,Dragon Age: Inquisition,"Nov 18, 2014","PC, PlayStation 3, PlayStation 4, Xbox 360, Xbox One",Dragon Age: Inquisition is the third entry in BioWare's epic fantasy role-playing game trilogy.,"BioWare, Electronic Arts","BioWare, Electronic Arts, Sony DADC Brasil","Action, 3D, Third-Person, Role-Playing, Adventure",Mature
https://www.gamespot.com/games/life-is-strange-remastered/,Life is Strange,"Feb 1, 2022","Android, iOS (iPhone/iPad), Linux, Macintosh, Nintendo Switch, PC, PlayStation 3, PlayStation 4, Xbox 360, Xbox One",,"DONTNOD Entertainment, Feral Interactive, Square Enix, Deck Nine Games","DONTNOD Entertainment, Square Enix","Adventure, Action",Mature
https://www.gamespot.com/games/xenoblade-chronicles/,Xenoblade Chronicles,"Apr 6, 2012","3DS, Nintendo Switch, Wii",Xenoblade Chronicles is a role-playing game which takes place on an immense game world on the remains of two giant titans.,"Monster Games Inc., Monolith Soft",Nintendo,"Action, Role-Playing",Teen
https://www.gamespot.com/games/game-of-thrones-a-telltale-games-series/,Game of Thrones: A Telltale Games Series,"Nov 17, 2015","Android, iOS (iPhone/iPad), Macintosh, PC, PlayStation 3, PlayStation 4, Xbox 360, Xbox One","Game of Thrones - A Telltale Games Series is targeted to premiere digitally in 2014 for home consoles, PC/Mac, and mobile devices.",Telltale Games,Telltale Games,Adventure,Mature
https://www.gamespot.com/games/borderlands-the-handsome-collection/,Borderlands: The Handsome Collection,"Mar 24, 2015","Nintendo Switch, PC, PlayStation 4, Xbox One","The Handsome Collection brings Borderlands 2 and The Pre-Sequel, along with all of their DLC, to PS4 and Xbox One.","2K Games, Iron Galaxy Studios",2K Games,Compilation,Mature
https://www.gamespot.com/games/bloodborne/,Bloodborne,"Mar 24, 2015",PlayStation 4,"Bloodborne is a new PS4 exclusive title from Software and Hidetaka Miyazaki, creators of the critically acclaimed Demon’s Souls and Dark Souls games.",From Software,"SCEA, SCEE, SCEI, Sony Interactive Entertainment, SCE Australia","Role-Playing, Action",Mature
https://www.gamespot.com/games/borderlands-the-pre-sequel/,Borderlands: The Pre-Sequel,"Oct 13, 2014","Android, Linux, Macintosh, PC, PlayStation 3, Xbox 360","Borderlands: The Pre-Sequel takes off into space and brings the action to Pandora's moon, telling the tale of Handsome Jack's rise to power.","Gearbox Software, Aspyr, 2K Australia","2K Games, Aspyr, Sony DADC Brasil, Take-Two Interactive","Action, First-Person, Shooter, 3D",Mature
https://www.gamespot.com/games/woolfe-the-redhood-diaries/,Woolfe - The Red Hood Diaries,"Mar 17, 2015",PC,"A twisted fable in a rich, fantasy setting of smoke-spewing factories and evil forests, Woolfe: The Red Hood Diaries is an action-platforming fairy tale of death, industrial greed and vengeance, coming to PC, PS4, and Xbox One in 2015.",GriN Multimedia,GriN Multimedia,"3D, Action, Adventure, Survival",
https://www.gamespot.com/games/frozen-cortex/,Frozen Cortex,"Mar 10, 2014","Linux, Macintosh, PC","Frozen Cortex is a simultaneous turn-based strategy game from Mode 7, the creators of Frozen Synapse.",Mode 7 Games,Mode 7 Games,Sports,
https://www.gamespot.com/games/robot-roller-derby-disco-dodgeball/,Robot Roller-Derby Disco Dodgeball,"Mar 28, 2014","Linux, Macintosh, PC",Disco Dodgeball is a first-person sports shooter set in a dance club.,Erik Asmussen,82 Apps,Sports,
https://www.gamespot.com/games/bladestorm-the-hundred-years-war/,Bladestorm: The Hundred Years' War,"Nov 6, 2007","PC, PlayStation 3, PlayStation 4, Xbox 360, Xbox One",Bladestorm: The Hundred Years' War is set in medieval Europe and features vast teeming battlelfields in the tradition of Dynasty Warriors.,"Omega Force, Koei Tecmo Games","Koei Tecmo Games, Koei","Beat-'Em-Up, 3D, Action",Teen
https://www.gamespot.com/games/final-fantasy-type-0/,Final Fantasy Type-0,"Mar 17, 2015","PC, PlayStation 4, PSP, Xbox One",Final Fantasy Type-0 lets players switch at will between fourteen characters with unique weapons and abilities.,"Square Enix, HexaDrive",Square Enix,"Action, Role-Playing",Mature
https://www.gamespot.com/games/la-cops/,LA Cops,"Jul 30, 2014","Macintosh, PC, PlayStation 4, Xbox One",,Modern Dream,"LA Cops Ltd, Team 17","2D, Action, Fixed-Screen, Shooter",Mature
https://www.gamespot.com/games/resident-evil-revelations-2/,Resident Evil: Revelations 2,"Mar 17, 2015","Nintendo Switch, PC, PlayStation 3, PlayStation 4, PlayStation Vita, Xbox 360, Xbox One","Resident Evil Revelations 2 brings the terror to a new setting for PlayStation 4, PlayStation 3, Xbox 360, Xbox One, and PC.","Capcom, Frima Studio","Capcom, SCEA, SCEE","3D, Action, Adventure, Survival",Mature
https://www.gamespot.com/games/battlefield-hardline/,Battlefield Hardline,"Mar 17, 2015","PC, PlayStation 3, PlayStation 4, Xbox 360, Xbox One",A brand new series in the Battlefield franchise focused on the war on crime and the battle between cops and criminals.,Visceral Games,Electronic Arts,"Shooter, Tactical, Action, First-Person",Mature
https://www.gamespot.com/games/tales-from-the-borderlands-a-telltale-game-series/,Tales from the Borderlands: A Telltale Game Series,"Oct 20, 2015","Android, iOS (iPhone/iPad), Macintosh, Nintendo Switch, PC, PlayStation 3, PlayStation 4, PlayStation 5, Xbox 360, Xbox One, Xbox Series X",Tales from the Borderlands will explore and expand on the stories of existing and all-new characters from the world of Pandora.,Telltale Games,"Telltale Games, Take-Two Interactive, 2K Games",Adventure,Mature
https://www.gamespot.com/games/mario-party-10/,Mario Party 10,"Mar 20, 2015",Wii U,"Bowser crashes the latest Mario Party, the first installment of the
series on the Wii U console. In the new Bowser Party mini games, play as Bowser himself and face off against up to four others playing as Mario and friends. Control Bowser using the buttons, motion controls and touch screen of the Wii U GamePad controller in different ways, and wreak havoc as Bowser in each mini-game while the other players strive to survive.",Nd Cube,Nintendo,Party/Minigame,Everyone
https://www.gamespot.com/games/white-night/,White Night,"Mar 3, 2015","iOS (iPhone/iPad), Linux, Macintosh, Nintendo Switch, PC, PlayStation 4, Xbox One","White Night is an original, narrative-driven survival horror game from OSome Studio.","Playdigious, OSome Studio","Playdigious, Activision, Tesura Games, Plug In Digital","Action, Adventure, Survival, 3D",Mature
https://www.gamespot.com/games/trash-tv/,Trash TV,"Jun 6, 2012",PC,"Cast away into a recycling center, you play an outdated tube television animated to life with a singular goal – find your remote control and become fully functional again.",Lawrence Russell,"Reverb Triple XP, Lawrence Russell","2D, Action, Platformer",
